household_key,primer_dia,ultimo_dia,frecuencia_cestas,clv_historico,n_lineas,recencia_dias,tenencia_dias,gasto_medio_cesta,tenencia_corta,n_categorias_distintas,log_clv_historico,gasto_medio_semanal_base,gasto_medio_semanal_reciente,tendencia_no_disponible,tendencia_relativa,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,KID_CATEGORY_DESC,AGE_DESC_cod,MARITAL_STATUS_CODE_cod,INCOME_DESC_cod,HOMEOWNER_DESC_cod,HH_COMP_DESC_cod,KID_CATEGORY_DESC_cod,tamano_medio_cesta,descuento_total,target_campana,n_campanas,nivel_valor,nivel_tendencia,cuadrante
1,51,697,85,4248.87,1697,8,647,49.98670588235294,False,127,8.354643673215339,47.60450704225352,46.25833333333333,False,-0.028278282720695613,65+,A,35-49K,Homeowner,2 Adults No Kids,None/Unknown,5.0,0.0,3.0,0.0,2.0,3.0,19.96470588235294,790.9599999999999,1,8,Alto,Descendente,Alto valor / Descendente
2,103,668,45,1954.34,714,37,566,43.42977777777777,False,141,7.578319370341824,23.140281690140846,17.805833333333332,False,-0.23052650906493977,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,15.866666666666667,343.99,1,1,Bajo,Descendente,Bajo valor / Descendente
3,113,703,47,2653.21,922,2,591,56.45127659574468,False,109,7.883902337609645,35.02422535211267,8.185833333333333,False,-0.7662808170334148,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,19.617021276595743,756.1499999999999,1,3,Alto,Descendente,Alto valor / Descendente
4,104,627,30,1200.1100000000001,301,78,524,40.00366666666667,False,63,7.091001408227227,14.773521126760565,2.079166666666667,False,-0.8592639731024927,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,10.033333333333333,118.15,1,1,Bajo,Descendente,Bajo valor / Descendente
5,85,703,40,779.0600000000001,222,2,619,19.4765,False,76,6.659370839802133,8.547323943661972,2.4975,False,-0.7078032824704215,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.55,118.33,0,0,Bajo,Descendente,Bajo valor / Descendente
6,118,696,247,5901.12,1770,9,579,23.891174089068826,False,151,8.683066887387007,73.90859154929578,49.97083333333333,False,-0.32388329575995733,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.165991902834008,819.62,1,4,Alto,Descendente,Alto valor / Descendente
7,23,701,57,3340.07,1266,4,679,58.597719298245615,False,154,8.114046393948106,31.003380281690145,76.66250000000001,False,1.4727142428812852,45-54,A,50-74K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,4.0,0.0,2.0,3.0,22.210526315789473,514.66,1,4,Alto,Ascendente,Alto valor / Ascendente
8,65,699,112,5482.31,1958,6,635,48.94919642857143,False,179,8.609464212197205,55.695915492957745,91.24666666666667,False,0.6383008674703264,25-34,U,25-34K,Unknown,2 Adults Kids,1,1.0,3.0,2.0,5.0,1.0,0.0,17.482142857142858,1096.9199999999998,1,10,Alto,Ascendente,Alto valor / Ascendente
9,104,689,20,797.42,220,16,586,39.870999999999995,False,72,6.682634774783706,7.904647887323944,14.586666666666666,False,0.8453278216298723,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,11.0,183.1,0,0,Bajo,Ascendente,Bajo valor / Ascendente
10,114,685,9,234.34,70,20,572,26.037777777777777,False,40,5.461031277035783,1.5407042253521126,5.866666666666667,False,2.80778255172624,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,7.777777777777778,24.84,0,0,Bajo,Ascendente,Bajo valor / Ascendente
11,110,412,5,33.39,18,293,303,6.678,True,14,3.537765824444175,0.216056338028169,0.0,True,,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,3.6,10.98,0,0,Bajo,Sin tendencia disponible,Sin tendencia disponible
12,72,504,7,266.21,88,201,433,38.029999999999994,False,48,5.5880348661118875,2.9877464788732393,0.0,False,-1.0,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,12.571428571428571,32.7,0,0,Bajo,Descendente,Bajo valor / Descendente
13,101,705,273,13100.18,2328,0,605,47.986007326007325,False,161,9.48045758146849,149.19830985915493,164.99333333333334,False,0.10586596784567537,25-34,U,75-99K,Homeowner,2 Adults Kids,2,1.0,3.0,5.0,0.0,1.0,1.0,8.527472527472527,2001.5100000000002,1,10,Alto,Ascendente,Alto valor / Ascendente
14,4,704,140,2761.19,927,1,701,19.722785714285713,False,114,7.923779122334618,26.453521126760563,37.48166666666666,False,0.4168876229013593,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,6.621428571428571,611.3100000000001,1,5,Alto,Ascendente,Alto valor / Ascendente
15,22,705,55,972.53,309,0,684,17.682363636363636,False,91,6.880928640978418,9.50169014084507,14.744166666666667,False,0.5517414742126431,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,6.0,2.0,12.0,4.0,3.0,4.0,5.618181818181818,161.09,0,0,Bajo,Ascendente,Bajo valor / Ascendente
16,98,690,98,1512.02,517,15,593,15.428775510204082,False,109,7.321862932471643,17.136478873239437,2.1666666666666665,False,-0.8735640686343003,45-54,B,50-74K,Homeowner,Single Female,None/Unknown,3.0,1.0,4.0,0.0,4.0,3.0,5.275510204081633,172.29,1,2,Bajo,Descendente,Bajo valor / Descendente
17,24,689,124,5139.63,1032,16,666,41.44862903225807,False,122,8.54493091903174,51.98112676056338,22.4325,False,-0.5684491391783583,65+,B,Under 15K,Homeowner,2 Adults No Kids,None/Unknown,5.0,1.0,0.0,0.0,2.0,3.0,8.32258064516129,1186.06,1,5,Alto,Descendente,Alto valor / Descendente
18,94,704,161,6988.28,1857,1,611,43.405465838509315,False,143,8.852132825630704,76.35887323943663,118.92333333333333,False,0.5574265083827046,45-54,A,100-124K,Homeowner,2 Adults No Kids,None/Unknown,3.0,0.0,6.0,0.0,2.0,3.0,11.53416149068323,1016.8,1,4,Alto,Ascendente,Alto valor / Ascendente
19,73,704,419,11263.69,4640,1,632,26.882315035799525,False,176,9.329428333623957,128.78774647887323,119.98916666666666,False,-0.06831845461050844,35-44,B,15-24K,Unknown,Single Female,None/Unknown,2.0,1.0,1.0,5.0,4.0,3.0,11.073985680190932,3061.5800000000004,1,9,Alto,Descendente,Alto valor / Descendente
